player,position,team,age,adp,projected_ppg,market_ppg,snap_share,route_share,target_share,carry_share,rz_share,last3_usage_delta,last3_fp_delta,depth_chart_delta,td_rate_z,yards_per_touch_z,catch_rate_z,draft_capital_score,rostered_pct,next3_matchup
Demo Player 33,RB,MIN,29,38.3,16.8,16.2,0.721,0.606,0.162,0.415,0.142,0.063,1.16,0,-0.99,-0.95,-0.08,77,89,-1.95
Demo Player 34,RB,PHI,29,139.9,8.9,10.1,0.924,0.42,0.186,0.444,0.266,-0.071,-2.57,0,0.78,-1.41,-0.52,58,86,-1.19
Demo Player 35,RB,HOU,28,13.7,16.7,17.6,0.44,0.478,0.112,0.239,0.098,-0.006,-1.14,0,0.39,-0.69,-1.0,24,65,1.51
Demo Player 36,RB,ATL,22,62.4,16.5,16.0,0.921,0.859,0.147,0.467,0.031,0.088,-2.86,0,-0.21,0.25,2.07,84,9,4.67
Demo Player 37,RB,KC,30,115.6,15.1,15.9,0.651,0.713,0.212,0.134,0.375,0.022,2.2,0,0.53,2.94,-0.67,49,66,-2.02
Demo Player 38,RB,BUF,26,126.3,7.4,8.0,0.835,0.431,0.066,0.194,0.361,0.071,-1.54,1,-0.41,-1.91,0.74,33,10,-1.55
Demo Player 39,WR,CIN,31,92.9,14.0,8.9,0.914,0.558,0.174,0.031,0.342,-0.113,-0.69,1,1.17,1.0,0.64,93,4,-1.17
Demo Player 40,WR,HOU,24,58.8,15.4,13.0,0.653,0.483,0.083,0.05,0.235,0.008,4.3,0,-1.73,-0.28,0.46,92,54,-0.68
Demo Player 41,WR,LAR,27,141.3,15.6,17.4,0.392,0.77,0.062,0.017,0.251,-0.066,1.51,0,-1.06,-1.1,0.36,92,9,-1.48
Demo Player 42,WR,MIN,22,13.2,15.6,13.5,0.623,0.64,0.248,0.113,0.355,-0.114,5.56,0,-2.47,-2.55,-0.16,76,68,-2.17
Demo Player 43,WR,SF,29,167.0,17.2,19.7,0.42,0.458,0.196,0.046,0.319,0.031,3.48,-1,0.01,2.0,-2.05,93,73,1.8
Demo Player 44,WR,HOU,22,168.3,13.4,13.0,0.406,0.604,0.031,0.019,0.277,-0.011,1.51,1,1.1,1.56,0.0,53,19,-3.3
Demo Player 45,WR,GB,28,92.1,11.0,11.0,0.443,0.701,0.215,0.037,0.147,-0.121,-1.44,0,1.15,0.26,1.3,66,44,3.43
Demo Player 46,WR,LAR,28,11.6,18.1,16.4,0.591,0.886,0.244,0.067,0.194,0.102,1.02,-1,-0.36,1.13,0.82,39,4,2.27
Demo Player 47,WR,HOU,26,50.5,13.6,13.4,0.78,0.753,0.11,0.11,0.37,-0.155,3.42,0,-0.8,-1.34,-0.06,33,95,0.69
Demo Player 48,WR,HOU,26,165.8,11.8,14.0,0.909,0.525,0.271,0.12,0.397,-0.083,-1.79,0,0.15,0.0,0.27,80,9,-0.15
Demo Player 49,WR,GB,25,107.7,11.1,14.9,0.643,0.543,0.173,0.05,0.142,0.13,-2.12,0,-1.28,-0.9,-0.08,73,28,-0.71
Demo Player 50,WR,IND,27,122.2,9.2,7.2,0.923,0.863,0.269,0.099,0.088,0.073,-3.24,1,-0.98,0.44,0.61,81,94,-2.01
Demo Player 51,WR,MIN,29,80.3,9.0,9.9,0.641,0.549,0.166,0.073,0.193,0.104,0.48,0,1.47,-1.08,1.77,87,6,1.18
Demo Player 52,WR,DET,21,129.3,16.1,12.9,0.909,0.451,0.241,0.019,0.261,-0.028,-2.57,-1,-1.01,0.58,-0.72,42,95,3.88
Demo Player 53,WR,LAR,31,49.2,18.5,14.2,0.658,0.821,0.225,0.078,0.266,0.013,0.48,-1,1.31,-0.32,0.73,20,52,-2.27
Demo Player 54,WR,LAR,28,32.9,11.6,8.6,0.81,0.634,0.15,0.059,0.22,-0.168,1.16,0,-1.92,-0.06,-0.82,71,3,-0.03
Demo Player 55,WR,IND,28,133.4,12.2,12.2,0.791,0.417,0.055,0.102,0.09,-0.101,2.86,0,0.49,-1.1,1.06,20,5,0.56
Demo Player 56,WR,MIN,27,53.6,8.1,7.6,0.768,0.782,0.076,0.011,0.075,0.137,0.39,0,1.05,0.14,0.18,39,14,3.43
Demo Player 57,WR,TB,26,113.0,13.7,13.9,0.68,0.482,0.274,0.111,0.343,0.06,1.2,0,1.06,-0.15,1.97,24,93,0.9
Demo Player 58,WR,DAL,28,15.8,7.1,9.4,0.64,0.499,0.274,0.103,0.411,0.016,-2.38,0,0.08,-0.79,-0.22,94,3,4.41
Demo Player 59,WR,CHI,25,148.9,9.9,11.9,0.84,0.631,0.208,0.112,0.108,0.097,-2.46,1,1.86,-0.8,-0.44,83,22,-4.33
Demo Player 60,WR,KC,23,155.9,12.4,12.2,0.529,0.507,0.105,0.065,0.319,0.105,4.77,0,0.28,-0.4,0.1,90,77,0.77
Demo Player 61,WR,LAR,21,43.1,12.5,10.6,0.594,0.834,0.053,0.046,0.286,-0.1,0.66,0,1.02,2.14,0.4,76,66,1.52
Demo Player 62,WR,CIN,29,140.7,15.0,13.8,0.796,0.491,0.241,0.106,0.408,0.024,0.69,0,-0.15,0.74,-0.41,26,21,0.46
Demo Player 63,WR,IND,31,43.6,19.1,19.0,0.79,0.418,0.038,0.066,0.106,0.058,3.09,0,1.96,1.07,-0.15,93,98,-1.84
Demo Player 64,WR,BAL,26,80.9,9.2,10.2,0.814,0.649,0.042,0.044,0.323,-0.089,-2.16,1,-0.45,0.29,1.51,59,77,-0.44
Demo Player 65,WR,IND,31,149.9,13.5,13.2,0.881,0.687,0.277,0.077,0.383,0.067,3.54,0,-1.84,1.5,1.08,66,14,1.69
Demo Player 66,WR,CHI,21,151.3,11.5,11.7,0.43,0.511,0.195,0.03,0.267,-0.045,5.1,0,0.49,-0.37,0.2,76,58,-3.92
Demo Player 67,WR,PHI,22,112.6,15.1,11.6,0.512,0.633,0.223,0.064,0.195,0.119,4.78,0,0.17,0.8,-1.86,24,62,-1.55
Demo Player 68,WR,SF,23,39.8,14.0,13.0,0.83,0.324,0.041,0.11,0.338,0.063,1.48,0,0.89,0.97,-0.52,68,56,0.95
Demo Player 69,WR,IND,28,51.4,14.8,14.3,0.613,0.577,0.078,0.09,0.405,0.008,0.69,0,-0.15,-0.87,0.77,94,64,-0.27
Demo Player 70,WR,SF,21,113.8,15.1,10.4,0.623,0.311,0.214,0.018,0.347,-0.1,1.27,-1,0.81,0.82,-1.72,44,26,-0.66
Demo Player 71,WR,PHI,25,89.4,12.1,9.8,0.866,0.898,0.244,0.056,0.114,0.102,-0.41,0,0.56,-0.19,-0.23,93,41,-0.1
Demo Player 72,WR,HOU,22,67.1,19.8,18.4,0.468,0.604,0.038,0.114,0.172,0.015,-3.57,0,0.92,-1.13,2.68,63,73,-2.59
Demo Player 73,TE,BAL,24,87.9,12.7,12.7,0.436,0.897,0.261,0.0,0.157,-0.014,2.8,0,1.67,0.77,-0.63,85,63,1.82
Demo Player 74,TE,LAR,24,63.4,7.2,7.0,0.668,0.489,0.12,0.0,0.375,-0.043,-4.81,0,-0.1,0.58,0.38,58,88,1.44
Demo Player 75,TE,KC,27,57.1,11.7,7.5,0.524,0.738,0.274,0.0,0.036,0.032,-1.33,0,-0.6,-1.06,1.97,32,12,1.09
Demo Player 76,TE,MIN,23,59.4,11.6,11.7,0.894,0.427,0.258,0.0,0.365,0.116,-0.2,1,0.08,0.24,-0.86,95,8,-1.6
Demo Player 77,TE,LAR,29,125.9,8.0,10.7,0.802,0.404,0.256,0.0,0.266,0.055,-3.92,-1,0.59,1.32,0.05,87,13,-2.72
Demo Player 78,TE,DAL,31,65.4,11.8,13.3,0.737,0.417,0.092,0.0,0.091,0.125,-0.64,-1,-0.64,1.21,-0.92,41,39,0.1
Demo Player 79,TE,IND,27,60.7,12.7,11.0,0.803,0.701,0.101,0.0,0.251,0.081,3.68,0,-0.47,-0.28,-0.47,30,59,0.09
Demo Player 80,TE,CIN,24,37.6,7.6,5.4,0.383,0.788,0.04,0.0,0.222,-0.012,0.43,1,-0.89,-0.13,0.08,68,33,-0.77
Demo Player 81,TE,CHI,21,46.0,9.5,12.2,0.718,0.418,0.193,0.0,0.226,0.056,4.46,-1,-2.77,-2.02,0.02,52,50,4.16
Demo Player 82,TE,KC,28,101.2,6.4,5.3,0.585,0.447,0.038,0.0,0.06,0.044,1.73,0,0.51,-0.81,-0.21,77,38,-1.57
Demo Player 83,TE,CHI,24,123.3,12.4,11.0,0.709,0.531,0.238,0.0,0.255,0.027,-4.49,-1,-0.93,-0.35,-0.73,56,13,1.53
Demo Player 84,TE,CHI,24,31.0,14.2,10.5,0.444,0.574,0.113,0.0,0.039,0.007,2.07,0,2.52,-0.45,-1.25,47,44,0.29
Demo Player 85,TE,HOU,22,171.1,8.8,12.1,0.777,0.845,0.233,0.0,0.215,0.054,-3.11,1,0.44,0.75,-0.94,86,78,-1.83
Demo Player 86,TE,GB,27,159.5,7.3,6.9,0.597,0.843,0.217,0.0,0.337,0.12,5.65,1,0.21,3.47,2.09,38,26,1.5
Demo Player 87,TE,IND,29,56.1,7.4,4.4,0.706,0.563,0.214,0.0,0.358,0.132,-1.9,0,-0.16,-0.01,-1.39,28,67,-4.59
Demo Player 88,TE,TB,31,173.9,5.3,4.3,0.568,0.78,0.072,0.0,0.372,-0.089,-0.32,1,1.59,1.44,0.87,55,20,-0.87
